frame_num,player_1_pos,player_2_pos,ball_pos
116,"(np.float32(1707.7291), np.float32(538.7145))","(np.float32(1750.55), np.float32(78.66188))","(np.float32(1816.3213), np.float32(185.2017))"
117,"(np.float32(1709.4626), np.float32(538.6612))","(np.float32(1746.0181), np.float32(78.48556))","(np.float32(1816.3866), np.float32(185.46605))"
118,"(np.float32(1712.6196), np.float32(539.0002))","(np.float32(1743.3372), np.float32(78.465355))","(np.float32(1681.2441), np.float32(79.20398))"
119,"(np.float32(1715.2029), np.float32(539.273))","(np.float32(1740.3204), np.float32(78.686264))","(np.float32(1681.1036), np.float32(75.32354))"
120,"(np.float32(1717.3018), np.float32(539.46716))","(np.float32(1737.3596), np.float32(78.78371))","(np.float32(1681.1036), np.float32(70.88228))"
121,"(np.float32(1718.432), np.float32(539.63525))","(np.float32(1735.583), np.float32(79.791145))","(np.float32(1681.1036), np.float32(73.855064))"
122,"(np.float32(1719.5621), np.float32(539.9364))","(np.float32(1732.3262), np.float32(80.42072))","(np.float32(1681.3997), np.float32(78.59241))"
123,"(np.float32(1721.3383), np.float32(540.3995))","(np.float32(1727.8849), np.float32(80.43535))","(np.float32(1681.3997), np.float32(83.32975))"
124,"(np.float32(1722.4684), np.float32(540.5726))","(np.float32(1724.9241), np.float32(80.70626))","(np.float32(1681.6958), np.float32(85.402336))"
125,"(np.float32(1724.6807), np.float32(540.59827))","(np.float32(1723.1476), np.float32(80.804214))","(np.float32(1681.6958), np.float32(88.65926))"
126,"(np.float32(1725.5823), np.float32(540.193))","(np.float32(1720.1866), np.float32(80.718056))","(np.float32(1681.6958), np.float32(91.91618))"
127,"(np.float32(1726.2012), np.float32(539.886))","(np.float32(1716.6337), np.float32(80.96362))","(np.float32(1681.3997), np.float32(93.10052))"
128,"(np.float32(1727.1906), np.float32(539.2385))","(np.float32(1712.1924), np.float32(81.17991))","(np.float32(1684.0645), np.float32(93.10052))"
129,"(np.float32(1729.4989), np.float32(538.442))","(np.float32(1708.6394), np.float32(81.563896))","(np.float32(1686.7292), np.float32(92.804436))"
130,"(np.float32(1731.1478), np.float32(537.96405))","(np.float32(1705.9746), np.float32(81.88789))","(np.float32(1689.0979), np.float32(92.804436))"
131,"(np.float32(1733.4563), np.float32(537.43555))","(np.float32(1700.9413), np.float32(81.61711))","(np.float32(1691.7627), np.float32(92.804436))"
132,"(np.float32(1735.435), np.float32(536.6867))","(np.float32(1697.9805), np.float32(81.60054))","(np.float32(1694.1313), np.float32(92.508354))"
133,"(np.float32(1737.0839), np.float32(536.2324))","(np.float32(1695.6117), np.float32(81.56812))","(np.float32(1696.796), np.float32(92.508354))"
134,"(np.float32(1739.5573), np.float32(535.7998))","(np.float32(1692.7214), np.float32(81.66935))","(np.float32(1698.9127), np.float32(92.41247))"
