frame_num,player_1_pos,player_2_pos,ball_pos
107,"(np.float32(1690.5717), np.float32(539.31024))","(np.float32(1762.1567), np.float32(79.93903))","(np.float32(1831.5068), np.float32(182.70259))"
108,"(np.float32(1689.7963), np.float32(539.3003))","(np.float32(1759.0719), np.float32(80.091125))","(np.float32(1831.5068), np.float32(178.6923))"
109,"(np.float32(1689.1759), np.float32(539.3184))","(np.float32(1755.987), np.float32(80.13744))","(np.float32(1830.8899), np.float32(175.91595))"
110,"(np.float32(1688.7106), np.float32(539.4249))","(np.float32(1752.9022), np.float32(80.138824))","(np.float32(1830.273), np.float32(176.97745))"
111,"(np.float32(1688.7106), np.float32(539.63446))","(np.float32(1750.1259), np.float32(80.04827))","(np.float32(1829.9645), np.float32(179.13684))"
112,"(np.float32(1689.0208), np.float32(539.72375))","(np.float32(1748.892), np.float32(80.06367))","(np.float32(1829.6559), np.float32(181.29622))"
113,"(np.float32(1689.8557), np.float32(539.63226))","(np.float32(1746.7325), np.float32(80.184715))","(np.float32(1829.3474), np.float32(183.76408))"
114,"(np.float32(1690.8538), np.float32(539.42554))","(np.float32(1743.9562), np.float32(79.17109))","(np.float32(1829.039), np.float32(184.99803))"
115,"(np.float32(1692.0183), np.float32(539.33344))","(np.float32(1739.8264), np.float32(78.70637))","(np.float32(1827.4122), np.float32(185.40767))"
116,"(np.float32(1693.1215), np.float32(538.9941))","(np.float32(1734.458), np.float32(78.660126))","(np.float32(1826.1364), np.float32(185.58208))"
117,"(np.float32(1694.8549), np.float32(538.9408))","(np.float32(1729.9785), np.float32(78.4838))","(np.float32(1826.1696), np.float32(185.84518))"
118,"(np.float32(1697.6536), np.float32(539.2867))","(np.float32(1727.3435), np.float32(78.46361))","(np.float32(1665.2505), np.float32(79.20573))"
119,"(np.float32(1700.2368), np.float32(539.5595))","(np.float32(1724.3813), np.float32(78.68452))","(np.float32(1665.1646), np.float32(75.32528))"
120,"(np.float32(1702.3358), np.float32(539.75366))","(np.float32(1721.4204), np.float32(78.78196))","(np.float32(1665.1646), np.float32(70.884026))"
121,"(np.float32(1703.466), np.float32(539.9217))","(np.float32(1719.6439), np.float32(79.7894))","(np.float32(1665.1646), np.float32(73.85332))"
122,"(np.float32(1704.5962), np.float32(540.2229))","(np.float32(1716.3871), np.float32(80.418976))","(np.float32(1665.4606), np.float32(78.59066))"
123,"(np.float32(1706.3722), np.float32(540.686))","(np.float32(1711.9458), np.float32(80.43361))","(np.float32(1665.4606), np.float32(83.328))"
124,"(np.float32(1707.5024), np.float32(540.859))","(np.float32(1708.985), np.float32(80.70451))","(np.float32(1665.7567), np.float32(85.40059))"
125,"(np.float32(1709.521), np.float32(540.8885))","(np.float32(1707.2085), np.float32(80.802475))","(np.float32(1665.7567), np.float32(88.65752))"
126,"(np.float32(1710.3494), np.float32(540.48456))","(np.float32(1704.2476), np.float32(80.71631))","(np.float32(1665.7567), np.float32(91.914444))"
127,"(np.float32(1710.9169), np.float32(540.1786))","(np.float32(1700.6946), np.float32(80.96188))","(np.float32(1665.4606), np.float32(93.09878))"
128,"(np.float32(1711.9061), np.float32(539.53107))","(np.float32(1696.2533), np.float32(81.17816))","(np.float32(1668.1254), np.float32(93.09878))"
129,"(np.float32(1714.2146), np.float32(538.7346))","(np.float32(1692.7003), np.float32(81.56216))","(np.float32(1670.7902), np.float32(92.80269))"
130,"(np.float32(1715.8635), np.float32(538.25665))","(np.float32(1690.0355), np.float32(81.886154))","(np.float32(1673.1588), np.float32(92.80269))"
131,"(np.float32(1718.172), np.float32(537.7281))","(np.float32(1685.0022), np.float32(81.615364))","(np.float32(1675.8235), np.float32(92.80269))"
132,"(np.float32(1720.1506), np.float32(536.9793))","(np.float32(1682.0413), np.float32(81.59879))","(np.float32(1678.1923), np.float32(92.50661))"
133,"(np.float32(1721.7996), np.float32(536.52496))","(np.float32(1679.6726), np.float32(81.566376))","(np.float32(1680.8569), np.float32(92.50661))"
134,"(np.float32(1724.273), np.float32(536.09235))","(np.float32(1676.8502), np.float32(81.66761))","(np.float32(1683.0415), np.float32(92.410736))"
135,"(np.float32(1726.4165), np.float32(535.9865))","(np.float32(1673.6072), np.float32(81.59596))","(np.float32(1685.695), np.float32(92.11591))"
136,"(np.float32(1727.9005), np.float32(536.0426))","(np.float32(1671.8383), np.float32(81.97477))","(np.float32(1686.8741), np.float32(91.82109))"
137,"(np.float32(1729.2196), np.float32(536.0418))","(np.float32(1667.1211), np.float32(81.95062))","(np.float32(1691.0017), np.float32(90.34697))"
138,"(np.float32(1730.0441), np.float32(535.9286))","(np.float32(1663.5833), np.float32(82.03651))","(np.float32(1694.2448), np.float32(88.87286))"
139,"(np.float32(1730.3739), np.float32(535.5303))","(np.float32(1661.5194), np.float32(82.27426))","(np.float32(1697.193), np.float32(87.39874))"
140,"(np.float32(1730.8685), np.float32(534.92114))","(np.float32(1658.8661), np.float32(82.49591))","(np.float32(1700.436), np.float32(85.629814))"
141,"(np.float32(1732.3525), np.float32(534.3935))","(np.float32(1656.2126), np.float32(82.708565))","(np.float32(1704.8584), np.float32(83.86088))"
142,"(np.float32(1733.5068), np.float32(534.0445))","(np.float32(1654.7385), np.float32(82.98293))","(np.float32(1706.0377), np.float32(82.68159))"
143,"(np.float32(1735.6504), np.float32(533.68494))","(np.float32(1653.2644), np.float32(83.116684))","(np.float32(1710.1652), np.float32(79.73336))"
144,"(np.float32(1738.7832), np.float32(533.56287))","(np.float32(1652.0851), np.float32(83.1519))","(np.float32(1713.9979), np.float32(76.78513))"
145,"(np.float32(1740.762), np.float32(533.3575))","(np.float32(1651.2007), np.float32(83.17922))","(np.float32(1715.1771), np.float32(75.900665))"
146,"(np.float32(1743.3503), np.float32(532.95734))","(np.float32(1650.611), np.float32(83.26682))","(np.float32(1719.0099), np.float32(72.657616))"
147,"(np.float32(1745.4989), np.float32(532.4122))","(np.float32(1650.611), np.float32(83.29993))","(np.float32(1722.5477), np.float32(70.585434))"
148,"(np.float32(1746.903), np.float32(531.89307))","(np.float32(1650.611), np.float32(83.31156))","(np.float32(1726.0856), np.float32(73.82848))"
149,"(np.float32(1748.6035), np.float32(531.30304))","(np.float32(1651.2007), np.float32(83.32497))","(np.float32(1729.9183), np.float32(77.07153))"
150,"(np.float32(1751.3282), np.float32(531.11035))","(np.float32(1652.0851), np.float32(83.35333))","(np.float32(1755.7393), np.float32(186.61479))"
151,"(np.float32(1753.6599), np.float32(531.1465))","(np.float32(1652.9696), np.float32(83.370026))","(np.float32(1753.9703), np.float32(184.55103))"
152,"(np.float32(1757.8967), np.float32(531.06055))","(np.float32(1653.854), np.float32(83.64682))","(np.float32(1749.8428), np.float32(179.53905))"
153,"(np.float32(1762.0425), np.float32(531.1381))","(np.float32(1655.0333), np.float32(83.9674))","(np.float32(1746.0101), np.float32(175.2815))"
154,"(np.float32(1764.3848), np.float32(531.29535))","(np.float32(1656.2126), np.float32(84.026085))","(np.float32(1747.8226), np.float32(180.29349))"
155,"(np.float32(1765.9658), np.float32(531.2863))","(np.float32(1657.392), np.float32(84.21033))","(np.float32(1748.9655), np.float32(181.10161))"
156,"(np.float32(1767.8981), np.float32(531.31836))","(np.float32(1658.8661), np.float32(84.305244))","(np.float32(1751.4247), np.float32(184.26355))"
157,"(np.float32(1769.1277), np.float32(531.26935))","(np.float32(1659.7505), np.float32(84.28382))","(np.float32(1753.7084), np.float32(187.24983))"
158,"(np.float32(1770.5331), np.float32(531.0578))","(np.float32(1661.2246), np.float32(84.006134))","(np.float32(1755.992), np.float32(190.23611))"
159,"(np.float32(1772.114), np.float32(531.0214))","(np.float32(1663.5833), np.float32(83.87912))","(np.float32(1758.4513), np.float32(193.2224))"
160,"(np.float32(1773.3436), np.float32(530.84686))","(np.float32(1665.0574), np.float32(83.789406))","(np.float32(1760.7349), np.float32(196.20868))"
161,"(np.float32(1774.749), np.float32(530.3957))","(np.float32(1666.2366), np.float32(83.281876))","(np.float32(1763.0186), np.float32(199.19498))"
162,"(np.float32(1776.1543), np.float32(529.572))","(np.float32(1668.0055), np.float32(82.65898))","(np.float32(1765.4116), np.float32(439.73328))"
163,"(np.float32(1777.0326), np.float32(529.14874))","(np.float32(1668.89), np.float32(82.21947))","(np.float32(1767.3439), np.float32(437.274))"
164,"(np.float32(1778.7893), np.float32(529.16876))","(np.float32(1670.9537), np.float32(81.65116))","(np.float32(1769.8032), np.float32(432.88242))"
165,"(np.float32(1780.5459), np.float32(529.0951))","(np.float32(1673.6072), np.float32(81.5311))","(np.float32(1773.1407), np.float32(427.26117))"
166,"(np.float32(1781.5999), np.float32(529.0553))","(np.float32(1675.6709), np.float32(81.44914))","(np.float32(1775.0731), np.float32(425.85587))"
167,"(np.float32(1782.6538), np.float32(529.0659))","(np.float32(1678.914), np.float32(81.378075))","(np.float32(1777.181), np.float32(424.45053))"
168,"(np.float32(1783.5322), np.float32(529.12695))","(np.float32(1680.9778), np.float32(81.55191))","(np.float32(1779.1134), np.float32(423.04523))"
169,"(np.float32(1784.2349), np.float32(529.11835))","(np.float32(1682.157), np.float32(81.41931))","(np.float32(1781.2213), np.float32(421.81558))"
170,"(np.float32(1785.1132), np.float32(529.1051))","(np.float32(1684.8104), np.float32(81.49208))","(np.float32(1783.1537), np.float32(420.41028))"
171,"(np.float32(1787.2211), np.float32(529.1049))","(np.float32(1688.6431), np.float32(81.44781))","(np.float32(1785.2616), np.float32(420.8674))"
172,"(np.float32(1788.4508), np.float32(529.1293))","(np.float32(1691.5913), np.float32(81.066635))","(np.float32(1787.1938), np.float32(422.2727))"
173,"(np.float32(1790.2074), np.float32(529.0877))","(np.float32(1694.5396), np.float32(80.78951))","(np.float32(1789.3019), np.float32(423.67804))"
174,"(np.float32(1791.2614), np.float32(529.1648))","(np.float32(1696.6034), np.float32(80.69154))","(np.float32(1791.2341), np.float32(425.08334))"
175,"(np.float32(1791.7883), np.float32(529.1121))","(np.float32(1697.4878), np.float32(80.62074))","(np.float32(1793.3422), np.float32(426.48865))"
176,"(np.float32(1791.964), np.float32(529.01904))","(np.float32(1697.7826), np.float32(80.558846))","(np.float32(1795.2744), np.float32(427.7183))"
177,"(np.float32(1791.437), np.float32(528.9367))","(np.float32(1698.3723), np.float32(80.64355))","(np.float32(1797.3824), np.float32(429.1236))"
178,"(np.float32(1790.5587), np.float32(528.90137))","(np.float32(1698.9619), np.float32(80.73724))","(np.float32(1799.139), np.float32(430.17758))"
179,"(np.float32(1790.2074), np.float32(528.5661))","(np.float32(1700.1412), np.float32(80.68778))","(np.float32(1800.8956), np.float32(431.23157))"
180,"(np.float32(1790.2074), np.float32(528.3103))","(np.float32(1701.9102), np.float32(80.77492))","(np.float32(1802.6523), np.float32(432.1099))"
181,"(np.float32(1791.6127), np.float32(527.96436))","(np.float32(1702.7946), np.float32(80.95026))","(np.float32(1804.2333), np.float32(433.16388))"
182,"(np.float32(1793.0181), np.float32(526.7566))","(np.float32(1703.6791), np.float32(81.22867))","(np.float32(1805.6385), np.float32(434.04218))"
183,"(np.float32(1792.3153), np.float32(525.1753))","(np.float32(1705.1532), np.float32(81.22379))","(np.float32(1804.7603), np.float32(426.48865))"
184,"(np.float32(1791.6127), np.float32(525.32043))","(np.float32(1706.0377), np.float32(81.51539))","(np.float32(1803.882), np.float32(421.11295))"
185,"(np.float32(1791.2614), np.float32(526.09064))","(np.float32(1707.8066), np.float32(82.184746))","(np.float32(1803.0037), np.float32(428.84213))"
186,"(np.float32(1791.0857), np.float32(526.5019))","(np.float32(1708.691), np.float32(82.80002))","(np.float32(1801.0713), np.float32(437.62534))"
187,"(np.float32(1791.437), np.float32(526.582))","(np.float32(1709.8704), np.float32(83.06335))","(np.float32(1800.8956), np.float32(441.1386))"
188,"(np.float32(1792.3153), np.float32(526.5993))","(np.float32(1710.46), np.float32(83.23565))","(np.float32(1800.0836), np.float32(198.66797))"
189,"(np.float32(1793.0181), np.float32(526.881))","(np.float32(1711.0497), np.float32(83.39408))","(np.float32(1799.0295), np.float32(194.97903))"
190,"(np.float32(1793.3694), np.float32(527.057))","(np.float32(1711.3445), np.float32(83.58445))","(np.float32(1798.1512), np.float32(191.11444))"
